frame_number,timestamp,faces_count,emotions,activities,anomaly_count,anomaly_types
712,23.733333333333334,1,happy,caminhando,1,elemento_grafico
714,23.8,1,angry,caminhando,1,elemento_grafico
716,23.866666666666667,1,sad,caminhando,1,elemento_grafico
718,23.933333333333334,1,fear,"caminhando, gesticulando",2,"careta_exagerada, elemento_grafico"
720,24.0,1,sad,"correndo, gesticulando",2,"elemento_grafico, movimento_brusco"
722,24.066666666666666,1,neutral,"em_pe, dancando",1,elemento_grafico
724,24.133333333333333,1,neutral,"em_pe, dancando, gesticulando",1,elemento_grafico
726,24.2,1,neutral,"em_pe, dancando, gesticulando",1,elemento_grafico
728,24.266666666666666,1,neutral,"em_pe, dancando",2,"careta_exagerada, elemento_grafico"
730,24.333333333333332,1,neutral,"em_pe, gesticulando",1,elemento_grafico
732,24.4,1,neutral,em_pe,1,elemento_grafico
734,24.466666666666665,1,sad,"em_pe, gesticulando",1,elemento_grafico
736,24.533333333333335,1,sad,em_pe,1,elemento_grafico
738,24.6,1,sad,em_pe,1,elemento_grafico
740,24.666666666666668,1,sad,"em_pe, gesticulando",1,elemento_grafico
742,24.733333333333334,1,sad,em_pe,1,elemento_grafico
744,24.8,1,neutral,em_pe,1,elemento_grafico
746,24.866666666666667,1,sad,em_pe,1,elemento_grafico
748,24.933333333333334,1,neutral,em_pe,1,elemento_grafico
750,25.0,1,neutral,em_pe,1,elemento_grafico
752,25.066666666666666,1,neutral,"em_pe, gesticulando",2,"careta_exagerada, elemento_grafico"
754,25.133333333333333,1,neutral,em_pe,2,"careta_exagerada, elemento_grafico"
756,25.2,1,neutral,"em_pe, gesticulando",1,elemento_grafico
758,25.266666666666666,1,neutral,"em_pe, gesticulando",1,elemento_grafico
760,25.333333333333332,1,neutral,"em_pe, gesticulando",2,"careta_exagerada, elemento_grafico"
762,25.4,1,neutral,em_pe,2,"careta_exagerada, elemento_grafico"
